public_row_id,year,asocc_ssp_scenario,impact,reference_year,s_p,r_c
126,2025,,HTOX_nc,2010,Paper,FR
127,2026,SSP2,HTOX_nc,2010,Paper,FR
128,2027,SSP2,HTOX_nc,2010,Paper,FR
129,2028,SSP2,HTOX_nc,2010,Paper,FR
130,2029,SSP2,HTOX_nc,2010,Paper,FR
131,2030,SSP2,HTOX_nc,2010,Paper,FR
132,2019,,HTOX_c,2010,Paper,FR
133,2020,,HTOX_c,2010,Paper,FR
134,2021,,HTOX_c,2010,Paper,FR
135,2022,,HTOX_c,2010,Paper,FR
136,2023,,HTOX_c,2010,Paper,FR
137,2024,,HTOX_c,2010,Paper,FR
138,2025,,HTOX_c,2010,Paper,FR
139,2026,SSP2,HTOX_c,2010,Paper,FR
140,2027,SSP2,HTOX_c,2010,Paper,FR
141,2028,SSP2,HTOX_c,2010,Paper,FR
142,2029,SSP2,HTOX_c,2010,Paper,FR
143,2030,SSP2,HTOX_c,2010,Paper,FR
144,2019,,LU,2010,Paper,FR
145,2020,,LU,2010,Paper,FR
146,2021,,LU,2010,Paper,FR
147,2022,,LU,2010,Paper,FR
148,2023,,LU,2010,Paper,FR
149,2024,,LU,2010,Paper,FR
150,2025,,LU,2010,Paper,FR
151,2026,SSP2,LU,2010,Paper,FR
152,2027,SSP2,LU,2010,Paper,FR
153,2028,SSP2,LU,2010,Paper,FR
154,2029,SSP2,LU,2010,Paper,FR
155,2030,SSP2,LU,2010,Paper,FR
156,2019,,WU,2010,Paper,FR
157,2020,,WU,2010,Paper,FR
158,2021,,WU,2010,Paper,FR
159,2022,,WU,2010,Paper,FR
160,2023,,WU,2010,Paper,FR
161,2024,,WU,2010,Paper,FR
162,2025,,WU,2010,Paper,FR
163,2026,SSP2,WU,2010,Paper,FR
164,2027,SSP2,WU,2010,Paper,FR
165,2028,SSP2,WU,2010,Paper,FR
166,2029,SSP2,WU,2010,Paper,FR
167,2030,SSP2,WU,2010,Paper,FR
168,2019,,FRD,2010,Paper,FR
169,2020,,FRD,2010,Paper,FR
170,2021,,FRD,2010,Paper,FR
171,2022,,FRD,2010,Paper,FR
172,2023,,FRD,2010,Paper,FR
173,2024,,FRD,2010,Paper,FR
174,2025,,FRD,2010,Paper,FR
175,2026,SSP2,FRD,2010,Paper,FR
176,2027,SSP2,FRD,2010,Paper,FR
177,2028,SSP2,FRD,2010,Paper,FR
178,2029,SSP2,FRD,2010,Paper,FR
179,2030,SSP2,FRD,2010,Paper,FR
180,2019,,MRD,2010,Paper,FR
181,2020,,MRD,2010,Paper,FR
182,2021,,MRD,2010,Paper,FR
183,2022,,MRD,2010,Paper,FR
184,2023,,MRD,2010,Paper,FR
185,2024,,MRD,2010,Paper,FR
186,2025,,MRD,2010,Paper,FR
187,2026,SSP2,MRD,2010,Paper,FR
188,2027,SSP2,MRD,2010,Paper,FR
189,2028,SSP2,MRD,2010,Paper,FR
190,2029,SSP2,MRD,2010,Paper,FR
191,2030,SSP2,MRD,2010,Paper,FR
