public_row_id,year,asocc_ssp_scenario,s_p,r_c
0,2019,,Paper,FR
1,2020,,Paper,FR
2,2021,,Paper,FR
3,2022,,Paper,FR
4,2023,,Paper,FR
5,2024,,Paper,FR
6,2025,,Paper,FR
7,2026,SSP2,Paper,FR
8,2027,SSP2,Paper,FR
9,2028,SSP2,Paper,FR
10,2029,SSP2,Paper,FR
11,2030,SSP2,Paper,FR
